id,name,address,category,naver_category,new_cuisine_type,new_main_category
41856,불쭈컴퍼니,"서울특별시 은평구 서오릉로17길 13, 1층 (구산동)",기타,,기타,RESTAURANT
41952,씨유 신사미래점,"서울특별시 은평구 증산로21길 21, 1층 (신사동)",기타,"생활,편의>편의점",기타,RESTAURANT
41996,두레박,"서울특별시 은평구 연서로17길 43, 1층 (갈현동)",기타,음식점>한식,한식,RESTAURANT
42036,아이스걸크림보이 강남점,"서울특별시 강남구 강남대로106길 17, 지상1층 101호 (역삼동)",기타,,기타,RESTAURANT
42073,주화등,"서울특별시 은평구 갈현로 129, 103동 1층 101호 (구산동, 예일홈타운)",기타,술집>요리주점,술집/바,PUB
42087,피넛버터,"서울특별시 은평구 진흥로 13-3, 1층 102호 (역촌동)",기타,음식점>햄버거,양식,RESTAURANT
42098,술폭탄,"서울특별시 은평구 연서로29길 20-19, 2층 (갈현동)",기타,"술집>맥주,호프",술집/바,PUB
42169,빠샤,"서울특별시 은평구 서오릉로 107, 1층 (역촌동)",기타,"술집>오뎅,꼬치",술집/바,PUB
42275,다용도실,"서울특별시 은평구 연서로20길 17, 1층 (대조동)",기타,"음식점>카페,디저트",카페,CAFE
42312,쌩판,"서울특별시 은평구 연서로27길 20-9, 1층 (갈현동)",기타,술집>이자카야,술집/바,PUB
42334,술단지,"서울특별시 은평구 연서로4길 15, 1층 (역촌동)",기타,술집>요리주점,술집/바,PUB
42516,Insomnia(인썸니아),"서울특별시 은평구 불광로 16-15 (대조동, 1층)",기타,,기타,RESTAURANT
42796,물망초,"서울특별시 은평구 역말로 76-1 (역촌동, 1층)",기타,"술집>맥주,호프",술집/바,PUB
43069,팝퍼블 잠실점,"서울특별시 송파구 올림픽로 240, 롯데백화점 잠실점 2층 (잠실동)",기타,"카페,디저트>카페",카페,CAFE
43234,베이스캠프식스(Basecamp6),"서울특별시 은평구 불광로18길 18-1, 1층 (불광동)",기타,,기타,RESTAURANT
43330,슬로우캘리 연신내점,"서울특별시 은평구 연서로27길 4, 1층 근생101호 (갈현동)",기타,"도시락,컵밥>다이어트,샐러드",양식,RESTAURANT
43336,달구단,"서울특별시 은평구 응암로25길 9, 경남빌딩 1층 (응암동)",기타,"카페,디저트>케이크전문",디저트,CAFE
43362,청과일,"서울특별시 은평구 은평로 220, 상가 B동 1층 104호 (응암동, 녹번역e편한세상캐슬)",기타,"쇼핑,유통>과일",기타,RESTAURANT
43432,밀밀밀,"서울특별시 은평구 은평터널로 27, 1층 114호 (수색동, DMC아트포레자이)",기타,"음식점>카페,디저트",카페,CAFE
43440,펌킨브릿지,"서울특별시 은평구 갈현로 273-1, 1층 (갈현동)",기타,"음식점>카페,디저트",카페,CAFE
43441,명성푸드,서울특별시 은평구 역말로 52 (역촌동),기타,"쇼핑,유통>문,창문",기타,RESTAURANT
43450,파술타,"서울특별시 은평구 통일로 883, 1층 (갈현동)",기타,음식점>양식,양식,RESTAURANT
43451,호앙비엣 합정점,"서울특별시 마포구 양화로6길 14, 1층 (합정동)",기타,음식점>베트남음식,아시아음식,RESTAURANT
43465,아만딘2,서울특별시 은평구 통일로71가길 3 (대조동),기타,,기타,RESTAURANT
43474,슬러프,"서울특별시 은평구 연서로16길 15-7, 1층 (역촌동)",기타,"음식점>카페,디저트",카페,CAFE
43495,브레스 브루어스(BREATH BREWERS),"서울특별시 은평구 은평로11길 26-1, 1층 (녹번동)",기타,"음식점>카페,디저트",카페,CAFE
43507,52siso,"서울특별시 양천구 오목로50길 17, 1층 102호 (신정동, 휘버스아파트)",기타,"카페,디저트>카페",카페,CAFE
43514,랜싱,"서울특별시 은평구 통일로 863-20, 5층 (갈현동)",기타,술집>바(BAR),술집/바,PUB
43530,리미니 은평 롯데몰점,"서울특별시 은평구 통일로 1050, 롯데몰 은평점 4층 (진관동)",기타,,기타,RESTAURANT
43533,만년설,"서울특별시 은평구 응암로21가길 29, 1층 (응암동)",기타,"음식점>카페,디저트",카페,CAFE
43624,거실,"서울특별시 은평구 은평로8길 47, 1층 (응암동)",기타,"음식점>카페,디저트",카페,CAFE
